certificateType,registeredPersonNumber,accreditationCode,generationYear,generationState,startSerialNumber,endSerialNumber,fuelSource,ownerAccount,ownerAccountId,status
STC,11661,PVD2583312,2016,QLD,1,123,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2583413,2016,QLD,1,129,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2583414,2016,QLD,1,75,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2583386,2016,QLD,1,124,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2583387,2016,QLD,1,123,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2583388,2016,QLD,1,123,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2583389,2016,QLD,1,75,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2583447,2016,QLD,1,75,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2583448,2016,QLD,1,123,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2583449,2016,QLD,1,123,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2583451,2016,QLD,1,86,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2583454,2016,NSW,1,71,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2583457,2016,QLD,1,118,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2583459,2016,QLD,1,75,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2583460,2016,QLD,1,123,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2583461,2016,NSW,1,43,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
LGC,19603,WD00NS10,2016,NSW,300196,332936,Wind,CWP Renewables Pty Ltd,39418,Pending creation fee payment
LGC,19880,WD00NS09,2016,NSW,428249,469535,Wind,Goldwind Capital (Australia) Pty Ltd,39765,Registered
STC,19983,PVD2585210,2016,SA,1,102,S.G.U. - solar (deemed),Allstate Solar Pty Ltd,39727,Pending audit
STC,116,PVD2585238,2016,NSW,1,218,S.G.U. - solar (deemed),New England Solar Power Pty Ltd,891,Pending audit
STC,14071,PVD2580122,2016,SA,1,172,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580123,2016,QLD,1,132,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580124,2016,QLD,1,129,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580133,2016,QLD,1,75,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580134,2016,NSW,1,109,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580135,2016,NSW,1,109,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580136,2016,NSW,1,109,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580137,2016,WA,1,84,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580138,2016,WA,1,67,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580139,2016,WA,1,107,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580145,2016,QLD,1,134,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580128,2016,VIC,1,75,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580129,2016,NSW,1,64,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580130,2016,VIC,1,56,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580131,2016,VIC,1,43,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580153,2016,QLD,1,107,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580154,2016,WA,1,104,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580155,2016,WA,1,134,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580156,2016,SA,1,185,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580157,2016,QLD,1,126,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580235,2016,WA,1,102,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580236,2016,QLD,1,129,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580221,2016,WA,1,132,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580222,2016,SA,1,107,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580223,2016,NSW,1,67,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580224,2016,NSW,1,67,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,SW2580226,2016,WA,1,28,S.W.H. - air source heat pump (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,SW2580227,2016,TAS,1,33,S.W.H. - air source heat pump (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,SW2580229,2016,NSW,1,39,S.W.H. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,SW2580231,2016,WA,1,37,S.W.H. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,SW2580255,2016,WA,1,32,S.W.H. - air source heat pump (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2575337,2016,WA,23,109,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,11808,PVD2580211,2016,VIC,1,52,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580786,2016,NSW,1,137,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580787,2016,SA,1,87,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2575504,2016,WA,9,107,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580743,2016,QLD,1,126,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580745,2016,VIC,1,93,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580746,2016,WA,1,86,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580747,2016,VIC,1,89,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580748,2016,NSW,1,53,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580750,2016,QLD,1,104,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580751,2016,QLD,1,132,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580752,2016,QLD,1,96,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580976,2016,QLD,1,194,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580892,2016,WA,1,106,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580913,2016,QLD,1,123,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580914,2016,QLD,1,126,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,14071,PVD2580915,2016,QLD,1,68,S.G.U. - solar (deemed),Australia and New Zealand Banking Group Limited,2051,Registered
STC,18454,PVD2585260,2016,QLD,1,64,S.G.U. - solar (deemed),Emerging Energy Solutions Group Pty Ltd,35465,Pending audit
STC,17934,PVD2585239,2016,NSW,1,103,S.G.U. - solar (deemed),HANTTON RENEWABLE ENERGY AUSTRALIA PTY LTD,36205,Pending audit
STC,13069,PVD2585261,2016,WA,1,48,S.G.U. - solar (deemed),Technaus Pty Ltd,30909,Pending audit
STC,16082,PVD2585211,2016,TAS,1,58,S.G.U. - solar (deemed),Mode Electrical (Tas) Pty Ltd,33682,Pending audit
STC,10968,PVD2564529,2016,NSW,1,72,S.G.U. - solar (deemed),Renewable Energy Traders Pty Ltd,27966,Registered
STC,10968,PVD2564530,2016,NSW,1,217,S.G.U. - solar (deemed),Renewable Energy Traders Pty Ltd,27966,Registered
STC,10968,SW2565495,2016,ACT,1,40,S.W.H. - solar (deemed),Renewable Energy Traders Pty Ltd,27966,Registered
STC,10968,PVD2581924,2016,QLD,1,64,S.G.U. - solar (deemed),Renewable Energy Traders Pty Ltd,27966,Registered
STC,10968,PVD2581925,2016,NSW,1,60,S.G.U. - solar (deemed),Renewable Energy Traders Pty Ltd,27966,Registered
STC,10968,PVD2581926,2016,QLD,1,123,S.G.U. - solar (deemed),Renewable Energy Traders Pty Ltd,27966,Registered
STC,10968,PVD2581927,2016,NSW,1,72,S.G.U. - solar (deemed),Renewable Energy Traders Pty Ltd,27966,Registered
